IdCampanha,iTipoCampanha,Envios,DataInicio
3117,iXS_RUC_NPA_1T,6290,20240405
3119,iXS_CCR_SMSA,5456,20240408
3120,iXS_CCR_SMSB,8565,20240408
3121,iXS_CCR_SMSC,22810,20240408
3131,iXS_PMS,4997,20240415
3132,iXS_RUC_1T,19610,20240416
3133,iXS_PMS,5000,20240416
3134,iXS_PCDPM_2T,9750,20240417
3141,iXS_PCDPM_1T,5057,20240419
3142,iXS_RUC_NPA_CPay,14149,20240422
3143,iXS_PCD_NPA_CPay,14149,20240422
3144,iXS_PCD_Auto,9898,20240426
3150,iXS_Terminados_NPA_1T,142813,20240506
3151,iXS_PCDPM_1T,14840,20240507
3157,iXS_PCDPM_2T,6849,20240508
3158,iXS_PCD_Inativos_1T,9478,20240508
3164,iXS_CCR_SMSA,3510,20240513
3165,iXS_CCR_SMSB,6141,20240513
3166,iXS_CCR_SMSC,13177,20240513
3167,iXS_RUC_1T,15576,20240513
3169,iXS_PMS,5350,20240514
3170,iXS_PCDPMHabit,9487,20240515
3171,iXS_RUC_NPA_1T,3000,20240516
3172,iXS_PCD_NPA_1T,2964,20240516
3173,iXS_PMS,3330,20240517
3174,iXS_PCD_NPA_CPay,9109,20240522
3175,iXS_RUC_NPA_CPay,319,20240522
3176,iXS_RUC_2T,5586,20240523
3177,iXS_PCD_Auto,5490,20240527
3178,iXS_RUC_PlafondMinimo,1105,20240529
3184,iXS_PCDPM_1T,10002,20240603
3194,iXS_CCR_SMSA,3347,20240603
3195,iXS_CCR_SMSB,4977,20240603
3196,iXS_CCR_SMSC,22208,20240603
3208,iXS_PCDPM_1T,18518,20240701
3209,iXS_Terminados_NPA_1T,120704,20240705
3210,iXS_PMS,4891,20240705
3211,iXS_RUC_PlafondMinimo,116,20240708
3214,iXS_RUC_NPA_1T,358,20240708
3221,iXS_CCR_SMSA,2704,20240709
3222,iXS_CCR_SMSB,4543,20240709
3223,iXS_CCR_SMSC,13231,20240709
3224,iXS_RUC_1T,13951,20240709
3225,iXS_PMS,4952,20240710
3226,iXS_PCDPM_2T,9489,20240711
3227,iXS_PCD_NPA_1T,2761,20240711
3228,iXS_PCDPM_1T,3299,20240717
3229,iXS_PCD_Inativos_1T,9446,20240718
3230,iXS_PCD_NPA_CPay,6027,20240719
3231,iXS_RUC_NPA_CPay,66,20240719
3234,iXS_PCD_Auto,1593,20240715
3235,iXS_PCD_Auto,4365,20240715
3236,iXS_PCD_Auto,7449,20240717
3238,iXS_PCDPMHabit,9337,20240718
3240,iXS_RUC_2T,6487,20240729
3243,iXS_RUC_1T,12837,20240805
3244,iXS_PCDPM_1T,17536,20240806
3247,iXS_CCR_SMSA,8360,20240807
3248,iXS_CCR_SMSB,11136,20240807
3249,iXS_CCR_SMSC,21052,20240807
3250,iXS_PMS,1935,20240807
3251,iXS_PMS,4193,20240807
3253,iXS_PCDPM_2T,6921,20240808
3257,iXS_PCD_NPA_1T,5709,20240812
3258,iXS_RUC_NPA_1T,152,20240812
3259,iXS_PCDPMHabit,4901,20240814
3260,iXS_Terminados_NPA_1T,135864,20240820
3261,iXS_PCDPM_1T,3485,20240821
3262,iXS_PCD_Auto,5761,20240821
3263,iXS_PCD_NPA_CPay,7345,20240822
3264,iXS_PCD_NPA_CPay,7345,20240822
3267,iXS_PCD_NPA_CPay,7345,20240822
3268,iXS_PCD_Inativos_1T,9057,20240826
3269,iXS_RUC_2T,4646,20240828
3270,iXS_RUC_PlafondMinimo,264,20240828
3271,iXS_PMS,4860,20240903
3272,iXS_PMS,3944,20240904
3273,iXS_PMS,2549,20240906
3274,iXS_PCD_Auto,6143,20240905
3284,iXS_CCR_SMSA,5724,20240909
3285,iXS_CCR_SMSB,4007,20240909
3286,iXS_CCR_SMSC,9400,20240909
3288,iXS_PCDPM_1T,15681,20240909
3291,iXS_PCD_NPA_1T,2750,20240910
3292,iXS_RUC_NPA_1T,571,20240910
3294,iXS_RUC_1T,12352,20240911
3295,iXS_PCDPM_1T,646,20240911
3296,iXS_PCDPM_1T,645,20240911
3297,iXS_PCDPM_1T,776,20240911
3298,iXS_PCD_NPA_CPay,6798,20240912
3299,iXS_PCDPM_Parcerias,4228,20240912
3300,iXS_Terminados_NPA_1T,136215,20240916
3305,iXS_PCDPM_2T,9258,20240918
3306,iXS_RUC_2T,5043,20240918
3307,iXS_PCD_Inativos_1T,8979,20240919
3308,iXS_PCDPMHabit,5360,20240924
3309,iXS_PCDPM_1T,3623,20240925
3310,iXS_RUC_PlafondMinimo,263,20240925
3311,iXS_PCD_NPA_1T,4049,20241002
3312,iXS_RUC_NPA_1T,737,20241002
3313,iXS_PCDPM_1T,14657,20241003
3315,iXS_RUC_1T,10046,20241008
3316,iXS_PMS,2875,20241008
3317,iXS_PMS,1854,20241008
3318,iXS_PCD_Inativos_1T,9065,20241009
3324,iXS_CCR_SMSA,1186,20241014
3325,iXS_CCR_SMSB,864,20241014
3326,iXS_CCR_SMSC,1492,20241014
3327,iXS_CCR_SMSA,435,20241014
3328,iXS_CCR_SMSB,311,20241014
3329,iXS_CCR_SMSC,579,20241014
3330,iXS_Terminados_NPA_1T,121562,20241014
3334,iXS_PCDPM_1T,3557,20241016
3335,iXS_PMS,2433,20241016
3336,iXS_PCDPMHabit,3412,20241017
3337,iXS_PCDPM_Parcerias,3317,20241017
3338,iXS_PCD_NPA_CPay,16852,20241022
3339,iXS_RUC_NPA_CPay,6152,20241022
3340,iXS_PCDPM_1T,849,20241022
3341,iXS_PCDPM_1T,846,20241022
3342,iXS_PCDPM_1T,970,20241022
3343,iXS_PCD_Auto,4933,20241023
3344,iXS_PCDPM_2T,9010,20241028
3345,iXS_RUC_2T,2208,20241031
3346,iXS_PCDPM_1T,5583,20241105
3347,iXS_PCDPM_1T,13446,20241105
3348,iXS_RUC_PlafondMinimo,2617,20241029
3349,iXS_PMS,2375,20241107
3350,iXS_Terminados_NPA_1T,136844,20241111
3352,iXS_CCR_SMSA,2627,20241112
3354,iXS_CCR_SMSC,4843,20241112
3355,iXS_CCR_SMSA,2157,20241112
3356,iXS_CCR_SMSB,1503,20241112
3357,iXS_CCR_SMSC,4225,20241112
3360,iXS_PCD_NPA_1T,6778,20241112
3361,iXS_RUC_NPA_1T,867,20241112
3362,iXS_RUC_1T,10121,20241113
3364,iXS_PCDPM_1T,293,20241105
3365,iXS_PCDPM_1T,295,20241105
3366,iXS_PCDPM_1T,400,20241105
3367,iXS_PMS,2810,20241113
3368,iXS_PMS,1582,20241113
3369,iXS_PMS,425,20241113
3370,iXS_PCDPM_2T,8958,20241119
3371,iXS_RUC_2T,2526,20241119
3372,iXS_PCD_Auto,3971,20241120
3373,iXS_PCDPMHabit,3393,20241120
3375,iXS_PCD_Inativos_1T,9524,20241121
3380,iXS_CCR_SMSB,1887,20241112
3381,iXS_PCD_NPA_CPay,2103,20241126
3382,iXS_RUC_NPA_CPay,6379,20241126
3383,iXS_RUC_PlafondMinimo,2620,20241126
3384,iXS_Terminados_NPA_1T,138546,20241203
3385,iXS_PCD_NPA_1T,4621,20241204
3386,iXS_RUC_NPA_1T,663,20241204
3389,iXS_RUC_1T,10827,20241209
3390,iXS_PMS,2808,20241210
3391,iXS_PMS,2364,20241210
3392,iXS_PMS,1087,20241210
3393,iXS_PMS,377,20241210
3395,iXS_CCR_SMSA,8600,20241211
3396,iXS_CCR_SMSB,6286,20241211
3398,iXS_PCDPM_1T,8783,20241211
3401,iXS_PCD_Inativos_1T,9507,20241216
3402,iXS_PCD_NPA_CPay,3037,20241216
3403,iXS_RUC_NPA_CPay,4377,20241216
3404,iXS_RUC_2T,2131,20241217
3405,iXS_PCDPM_2T,8813,20241217
3406,iXS_PCDPM_Parcerias,4151,20241217
3408,iXS_PCDPMHabit,4311,20241218
3409,iXS_PCD_Auto,2949,20241218
3410,iXS_PCDPM_1T,13935,20241219
3411,iXS_RUC_PlafondMinimo,3153,20241230
3412,iXS_PCD_NPA_1T,5396,20250106
3413,iXS_RUC_NPA_1T,1501,20250106
3414,iXS_PCDPM_1T,8200,20250106
3418,iXS_RUC_1T,10000,20250108
3419,iXS_PCDPM_1T,13130,20250108
3420,iXS_PMS,2204,20250108
3421,iXS_PMS,2747,20250108
3423,iXS_PMS,467,20250108
3424,iXS_PMS,1046,20250108
3438,iXS_Terminados_NPA_1T,128755,20250113
3439,iXS_PCDPM_2T,8870,20250114
3440,iXS_CCR_SMSB,8968,20250114
3441,iXS_CCR_SMSA,1235,20250115
3443,iXS_RUC_2T,2126,20250115
3444,iXS_PCDPMHabit,3594,20250115
3445,iXS_CCR_SMSC,2419,20250115
3446,iXS_CCR_SMSD,588,20250115
3449,iXS_PCD_Inativos_1T,6656,20250122
3450,iXS_PCD_Auto,1995,20250123
3451,iXS_PCDPM_Parcerias,3856,20250123
3454,iXS_PCD_NPA_CPay,8711,20250123
3455,iXS_RUC_NPA_CPay,23599,20250123
3458,iXS_RUC_PlafondMinimo,4304,20250127
3462,iXS_PCD_NPA_1T,5392,20250203
3463,iXS_PCD_NPA_2T,583,20250203
3464,iXS_RUC_NPA_1T,779,20250203
3465,iXS_RUC_NPA_2T,143,20250203
3466,iXS_RUC_1T,12536,20250204
3468,iXS_PMS,2361,20250204
3469,iXS_PMS,2799,20250204
3471,iXS_PMS,841,20250204
3472,iXS_PMS,953,20250204
3473,iXS_PMS,393,20250204
3474,iXS_PMS,195,20250204
3486,iXS_CCR_SMSA,107,20250206
3487,iXS_CCR_SMSB,3076,20250206
3488,iXS_CCR_SMSC,5404,20250206
3489,iXS_CCR_SMSD,3287,20250206
3490,iXS_PCDPM_1T,8564,20250206
3491,iXS_PCDPMTOP,11307,20250206
3493,iXS_Terminados_NPA_1T,121787,20250210
3494,iXS_RUC_2T,1847,20250212
3495,iXS_PCDPM_2T,9204,20250213
3496,iXS_PCDPMHabit,4239,20250217
3498,iXS_PCD_Inativos_1T,8344,20250218
3500,iXS_RUC_NPA_CPay,4115,20250219
3501,iXS_PCD_NPA_CPay,13038,20250219
3502,iXS_PCDPM_Parcerias,3944,20250219
3503,iXS_RUC_PlafondMinimo,3985,20250224
3504,iXS_PCD_Auto,2381,20250224
3505,iXS_RUC_1T,12655,20250305
3506,iXS_PMS,2345,20250305
3507,iXS_PMS,2798,20250305
3508,iXS_PMS,871,20250305
3509,iXS_PMS,782,20250305
3510,iXS_PMS,314,20250305
3511,iXS_PMS,322,20250305
3516,iXS_Terminados_NPA_1T,128787,20250310
3517,iXS_RUC_1T,3343,20250311
3518,iXS_RUC_2T,1263,20250311
3519,iXS_RUC_2T,928,20250311
3520,iXS_RUC_NPA_1T,827,20250311
3521,iXS_RUC_NPA_2T,104,20250311
3522,iXS_PCDPM_Parcerias,9999,20250312
3523,iXS_PCD_Auto,818,20250312
3524,iXS_PCD_Auto,182,20250312
3525,iXS_RUC_NPA_CPay,568,20250312
3526,iXS_RUC_PlafondMinimo,4447,20250312
3528,iXS_PCDPMTOP,3262,20250317
3529,iXS_PCDPM_1T,8432,20250317
3530,iXS_PCDPM_1T,1461,20250317
3531,iXS_PCDPMTOP,11637,20250317
3541,iXS_PCD_Inativos_1T,6796,20250318
3542,iXS_PCD_Inativos_1T,2198,20250318
3543,iXS_PCD_NPA_1T,5353,20250319
3544,iXS_PCD_NPA_2T,385,20250319
3545,iXS_PCDPM_2T,9498,20250319
3546,iXS_PCDPM_2T,1298,20250319
3548,iXS_CCR_SMSA,1140,20250320
3549,iXS_CCR_SMSB,11723,20250320
3550,iXS_CCR_SMSC,2443,20250324
3551,iXS_CCR_SMSD,602,20250324
3552,iXS_PCDPMHabit,4218,20250327
3553,iXS_PCDPMHabit,736,20250327
3554,iXS_PCD_NPA_CPay,16645,20250328
3556,iXS_RUC_PlafondMinimo,2190,20250401
3574,iXS_CCR_SMSA,788,20250408
3575,iXS_CCR_SMSB,6099,20250408
3576,iXS_RUC_NPA_1T,483,20250409
3577,iXS_RUC_NPA_2T,73,20250409
3580,iXS_RUC_1T,6309,20250409
3581,iXS_RUC_1T,448,20250409
3582,iXS_RUC_2T,1612,20250409
3583,iXS_RUC_2T,89,20250409
3584,iXS_PMS,1756,20250409
3585,iXS_PMS,2122,20250409
3586,iXS_PMS,365,20250409
3587,iXS_PMS,743,20250409
3588,iXS_PMS,336,20250409
3589,iXS_PMS,136,20250409
3600,iXS_CCR_SMSC,3058,20250414
3601,iXS_CCR_SMSD,1780,20250414
3617,iXS_Terminados_NPA_1T,125529,20250416
3622,iXS_PCD_NPA_1T,4540,20250408
3623,iXS_PCD_NPA_2T,396,20250408
3624,iXS_PCD_Inativos_1T,104,20250409
3625,iXS_PCD_Inativos_1T,6795,20250409
3626,iXS_PCDPM_1T,8671,20250410
3627,iXS_PCDPM_1T,167,20250410
3628,iXS_PCDPMTOP,13587,20250402
3629,iXS_PCDPMTOP,810,20250402
3630,iXS_PCDPM_2T,9218,20250408
3631,iXS_PCDPM_2T,114,20250408
3632,iXS_PCDPMHabit,2829,20250407
3633,iXS_PCDPMHabit,83,20250407
3634,iXS_PCD_Auto,727,20250410
3635,iXS_PCD_Auto,47,20250410
3636,iXS_PCDPM_Parcerias,4342,20250410
3643,iXS_RUC_PlafondMinimo,4165,20250505
3644,iXS_RUC_1T,18320,20250505
3645,iXS_PCD_NPA_CPay,9639,20250505
3646,iXS_RUC_NPA_CPay,15037,20250505
3661,iXS_PCDPMTOP,14538,20250506
3662,iXS_PCDPM_1T,35933,20250505
3665,iXS_RUC_1T,9641,20250508
3666,iXS_PCD_NPA_1T,9397,20250512
3667,iXS_PCD_NPA_2T,1176,20250512
3668,iXS_RUC_NPA_1T,658,20250512
3669,iXS_RUC_NPA_2T,102,20250512
3678,iXS_PMS,4739,20250513
3679,iXS_PMS,4249,20250513
3680,iXS_PMS,465,20250513
3681,iXS_PMS,813,20250513
3682,iXS_PMS,338,20250513
3683,iXS_PMS,248,20250513
3684,iXS_CCR_SMSA,403,20250514
3685,iXS_CCR_SMSB,5783,20250514
3686,iXS_PCDPM_2T,9481,20250515
3687,iXS_PCD_Inativos_1T,7137,20250515
3688,iXS_Terminados_NPA_1T,93874,20250519
3689,iXS_Terminados_NPA_2T,27555,20250519
3690,iXS_CCR_SMSC,4953,20250519
3691,iXS_CCR_SMSD,2076,20250519
3692,iXS_PCDPM_1T,4238,20250520
3693,iXS_PCD_Auto,862,20250521
3694,iXS_PCDPM_Parcerias,9673,20250521
3695,iXS_PCD_Auto,1328,20250521
3696,iXS_RUC_2T,1355,20250522
3697,iXS_PCD_NPA_1T,6525,20250602
3698,iXS_PCD_NPA_2T,616,20250602
3699,iXS_RUC_NPA_1T,486,20250602
3700,iXS_RUC_NPA_2T,95,20250602
3701,iXS_PCD_NPA_CPay,6128,20250603
3702,iXS_RUC_NPA_CPay,14838,20250603
3704,iXS_PCDPMTOP,1737,20250605
3705,iXS_PCDPM_1T,2554,20250605
3723,iXS_RUC_2T,1528,20250609
3724,iXS_PCDPM_2T,8929,20250609
3725,iXS_RUC_1T,3379,20250611
3726,iXS_PMS,2301,20250611
3727,iXS_PMS,5294,20250611
3732,iXS_PCD_Inativos_1T,7579,20250611
3733,iXS_RUC_PlafondMinimo,5570,20250612
3734,iXS_Terminados_NPA_1T,60725,20250616
3738,iXS_Terminados_NPA_2T,16716,20250616
3739,iXS_CCR_SMSA,2154,20250616
3740,iXS_CCR_SMSB,4000,20250616
3741,iXS_CCR_SMSC,3382,20250616
3742,iXS_CCR_SMSD,1762,20250616
3743,iXS_PCDPMHabit,3168,20250617
3744,iXS_PCDPM_Parcerias,5279,20250618
3745,iXS_PCD_Auto,957,20250618
3747,iXS_PCD_NPA_1T,14700,20250701
3748,iXS_PCD_NPA_2T,1394,20250701
3749,iXS_RUC_NPA_1T,1048,20250701
